user_mood,physical_focus,fitness_level,target_avg_hr,duration_minutes,recommended_sequence
Lethargic,Core,Beginner,104,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Angry,Upper Body,Advanced,174,50,10m Jump Rope (Basic Bounce - Alternating Feet - Double Unders) | 30m Heavy Bag/Shadow Boxing (Jab-Cross combos - Bob & Weave - Hooks/Uppercuts) | 10m Core & Cooldown (Plank - Russian Twists - Shoulder Stretch)
Sore,Full Body Cardio,Intermediate,121,50,10m Mobility (Hip Openers - Shoulder Dislocates - Lunge with Twist) | 30m High Intensity Interval Training (Burpees - Mountain Climbers - Jump Squats) | 10m Static Stretching (Hamstring Stretch - Quad Stretch - Chest Opener)
Happy,Full Body Cardio,Beginner,121,50,10m Mobility (Hip Openers - Shoulder Dislocates - Lunge with Twist) | 30m High Intensity Interval Training (Burpees - Mountain Climbers - Jump Squats) | 10m Static Stretching (Hamstring Stretch - Quad Stretch - Chest Opener)
Focused,Full Body Cardio,Beginner,125,50,10m Mobility (Hip Openers - Shoulder Dislocates - Lunge with Twist) | 30m High Intensity Interval Training (Burpees - Mountain Climbers - Jump Squats) | 10m Static Stretching (Hamstring Stretch - Quad Stretch - Chest Opener)
Happy,Full Body Cardio,Advanced,148,50,10m Mobility (Hip Openers - Shoulder Dislocates - Lunge with Twist) | 30m High Intensity Interval Training (Burpees - Mountain Climbers - Jump Squats) | 10m Static Stretching (Hamstring Stretch - Quad Stretch - Chest Opener)
Focused,Full Body Cardio,Advanced,149,50,10m Mobility (Hip Openers - Shoulder Dislocates - Lunge with Twist) | 30m High Intensity Interval Training (Burpees - Mountain Climbers - Jump Squats) | 10m Static Stretching (Hamstring Stretch - Quad Stretch - Chest Opener)
Angry,Full Body Cardio,Intermediate,150,50,10m Mobility (Hip Openers - Shoulder Dislocates - Lunge with Twist) | 30m High Intensity Interval Training (Burpees - Mountain Climbers - Jump Squats) | 10m Static Stretching (Hamstring Stretch - Quad Stretch - Chest Opener)
Sore,Upper Body,Beginner,107,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Sore,Upper Body,Beginner,110,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Focused,Upper Body,Beginner,120,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Sore,Upper Body,Intermediate,122,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Happy,Upper Body,Beginner,124,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Focused,Upper Body,Beginner,125,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Focused,Upper Body,Beginner,125,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Sore,Upper Body,Advanced,131,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Happy,Upper Body,Advanced,145,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Focused,Upper Body,Advanced,148,50,10m Warmup (Jumping Jacks - High Knees - Arm Swings) | 30m Mixed Functional Fitness (Kettlebell Swings - Box Jumps - Pushups) | 10m Cooldown (Static Stretching - Foam Rolling - Deep Breathing)
Sore,Active Recovery,Beginner,100,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Lethargic,Active Recovery,Beginner,101,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Lethargic,Active Recovery,Beginner,102,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Lethargic,Active Recovery,Beginner,106,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Lower Body,Beginner,117,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Full Body Cardio,Beginner,119,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Active Recovery,Beginner,120,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Focused,Active Recovery,Beginner,121,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Sore,Active Recovery,Intermediate,121,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Upper Body,Beginner,121,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Focused,Flexibility,Beginner,122,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Upper Body,Beginner,122,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Sore,Active Recovery,Intermediate,123,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Lower Body,Beginner,124,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Active Recovery,Beginner,124,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Lower Body,Beginner,124,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Flexibility,Intermediate,130,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Full Body Cardio,Intermediate,130,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Full Body Cardio,Intermediate,131,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Lower Body,Intermediate,131,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Upper Body,Intermediate,132,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Happy,Active Recovery,Intermediate,132,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Active Recovery,Intermediate,132,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Active Recovery,Intermediate,133,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Flexibility,Intermediate,133,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Active Recovery,Intermediate,134,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Happy,Active Recovery,Intermediate,134,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Sore,Flexibility,Advanced,137,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Lethargic,Flexibility,Advanced,138,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Happy,Flexibility,Intermediate,139,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Lower Body,Intermediate,139,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Lower Body,Intermediate,140,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Sore,Active Recovery,Advanced,140,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Focused,Flexibility,Advanced,146,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Flexibility,Advanced,147,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Flexibility,Advanced,147,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Upper Body,Advanced,147,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Lower Body,Advanced,148,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Focused,Flexibility,Advanced,150,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Happy,Flexibility,Advanced,150,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Lower Body,Advanced,150,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Flexibility,Advanced,152,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Focused,Active Recovery,Advanced,152,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Happy,Active Recovery,Advanced,153,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Focused,Active Recovery,Advanced,153,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Active Recovery,Advanced,153,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Stressed,Active Recovery,Advanced,154,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Lower Body,Advanced,155,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Happy,Active Recovery,Advanced,155,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Anxious,Lower Body,Advanced,155,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Angry,Active Recovery,Advanced,166,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Angry,Active Recovery,Advanced,167,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Energetic,Active Recovery,Advanced,167,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Angry,Flexibility,Advanced,168,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Energetic,Active Recovery,Advanced,175,50,5m Breathing Warmup (Box Breathing - Cat-Cow - Child's Pose) | 40m Vinyasa Yoga Flow (Downward Dog - Warrior II - Sun Salutations) | 5m Deep Meditation (Body Scan - Mantra Focus - Savasana)
Sore,Core,Beginner,105,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Happy,Core,Beginner,116,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Happy,Core,Beginner,123,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Happy,Core,Intermediate,135,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Angry,Core,Beginner,137,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Sore,Core,Advanced,137,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Focused,Core,Intermediate,140,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Focused,Core,Advanced,145,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Energetic,Core,Beginner,145,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Focused,Core,Advanced,151,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Happy,Core,Advanced,154,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Happy,Core,Advanced,155,50,5m Light Jog (Jog in Place - High Knees - Butt Kicks) | 35m Pilates & Core Stability (Hollow Body Hold - Bicycle Crunches - Leg Raises) | 10m Yoga Cooldown (Cobra Pose - Child's Pose - Spinal Twist)
Lethargic,Upper Body,Beginner,104,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Lower Body,Beginner,105,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Upper Body,Beginner,109,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Core,Intermediate,115,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Upper Body,Intermediate,121,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Core,Advanced,132,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Upper Body,Advanced,134,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Core,Advanced,139,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Core,Advanced,140,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Sore,Lower Body,Intermediate,115,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Focused,Lower Body,Beginner,121,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
